Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Fix versions,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Components,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Development),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Issue color),Custom field (Phase),Custom field (Rank),Custom field (Request Type),Custom field (Request participants),Custom field (Reviewer),Custom field (Reviewer)Id,Satisfaction rating,Custom field (Start date),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time Needed),Custom field ([CHART] Date of First Response),Custom field (_phase),Custom field (locale),Custom field (tracCc),Custom field (tracCreated),Custom field (tracOwner),Custom field (tracProject),Custom field (tracReporter),Custom field (tracResolution),Custom field (tracReviewer),Custom field (tracStatus),Custom field (tracWeeks),Custom field (xpath),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Status Category
Streamline the BRS process,CLDR-14999,86843,Bug,Accepted,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,,Mark Davis,5b1fa41abe73de20759a87c2,Mark Davis,5b1fa41abe73de20759a87c2,Mark Davis,5b1fa41abe73de20759a87c2,23/Aug/21 10:44 AM,24/Aug/21 10:16 AM,08/Sep/21 3:09 PM,,41,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"We should steamline the BRS tooling/process, making the items more turnkey wherever possible. There will alway need to be some human intervention in terms of reviewing the changes made by the tool, but we should eliminate as much of the 'grunt work' involved as possible.",,Annemarie Apple 🍎,Mark Davis,,,5e176cf93ebba10e937fd91d,5b1fa41abe73de20759a87c2,,,,,,,,,,,,,,,CLDR-15004,CLDR-15005,,{},,,,,,,,0|i0d6bz:,,,,,,,,,,,,,,2021-08-23 18:15:01.047,,,,,,,,,,,,,23/Aug/21 11:15 AM;5e176cf93ebba10e937fd91d;Create a list of examples of commonly ‘wrong’ items during charts review.,,,,,,,In Progress
BRS v40§A05.5: CLDRModify ,CLDR-14980,86807,Task,Accepted,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,,Steven R. Loomis,5af4a8718a1abd1427952ed9,Steven R. Loomis,5af4a8718a1abd1427952ed9,Steven R. Loomis,5af4a8718a1abd1427952ed9,16/Aug/21 2:24 PM,16/Aug/21 3:33 PM,08/Sep/21 3:09 PM,,40,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,- CLDRModify steps,,Steven R. Loomis,,,,5af4a8718a1abd1427952ed9,,,,,,,,,,,,,,,,CLDR-14981,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=3}, build={count=3, dataType=build, failedBuildCount=0, successfulBuildCount=3, unknownBuildCount=0}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":3,""lastUpdated"":""2021-08-23T09:23:49.000-0700"",""stateCount"":3,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":3,""name"":""GitHub""}}},""build"":{""overall"":{""count"":3,""lastUpdated"":null,""failedBuildCount"":0,""successfulBuildCount"":3,""unknownBuildCount"":0,""dataType"":""build""},""byInstanceType"":{""cloud-providers"":{""count"":3,""name"":""Other providers""}}}}},""isStale"":true}}",,,,,,,,0|i0d63z:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Progress
40 BRS§A21 Generate Algorithmic Locales,CLDR-14969,86789,Bug,Reviewing,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,,Steven R. Loomis,5af4a8718a1abd1427952ed9,Steven R. Loomis,5af4a8718a1abd1427952ed9,Steven R. Loomis,5af4a8718a1abd1427952ed9,10/Aug/21 1:54 PM,25/Aug/21 8:08 AM,08/Sep/21 3:09 PM,,40,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,BRS,,,,Steven R. Loomis,,,,5af4a8718a1abd1427952ed9,,,,,,,,,,,,,,CLDR-14513,,CLDR-14952,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=3}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":3,""lastUpdated"":""2021-08-24T16:11:14.000-0700"",""stateCount"":3,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":3,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i0d5zz:,,,Mark Davis,5b1fa41abe73de20759a87c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Progress
Link checking for LDML spec in markdown,CLDR-14602,86269,Docs,Accepted,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,,Steven R. Loomis,5af4a8718a1abd1427952ed9,Rick McGowan,5b2957469ba6d02662e2f7b4,Rick McGowan,5b2957469ba6d02662e2f7b4,17/Mar/21 9:18 AM,17/Mar/21 9:26 AM,08/Sep/21 3:09 PM,,,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Link checking doesn’t work in new “MD” format via githubio. Need to refine process for validating and link-checking updated TR35 files. See (currently) BRS #D01.

E.g., perhaps something like: https://github.com/marketplace/actions/markdown-link-check 
https://github.com/marketplace?type=actions&query=link+check

",,Rick McGowan,,,,5b2957469ba6d02662e2f7b4,,,,,,,,,,,,,,,,,,,{},,,,,,,,0|i0d2sf:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Progress
Errors from testing production data for 39-alpha4,CLDR-14572,86220,Bug,Done,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,Fixed,Peter Edberg,5b29558fe478c9080efacbde,Peter Edberg,5b29558fe478c9080efacbde,Peter Edberg,5b29558fe478c9080efacbde,04/Mar/21 10:12 AM,06/Apr/21 5:16 PM,08/Sep/21 3:09 PM,06/Apr/21 5:16 PM,39,,,,,,,,,,,,,,,,,,,,,,BRS,Tools-Internal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"I see the following errors when testing production data for release-39-alpha4:

1. Remove dialect names that are supposed to match the ones generated from locale display patterns; but maybe that does not work for short variant?

{code:java}# Error
   TestVariantName {
      Error: (TestCLDRUtils.java:70) : Test variant formatting combinedShort en_US_POSIX: expected ""anglais [É.-U.] (informatique)"", got ""anglais américain (informatique)""
    } (0.031s) FAILED (1 failure(s))

# Test code that reported the error
	 checkNames(french, ""en_US_POSIX"", ""anglais américain (informatique)"",
		""anglais [É.-U.] (informatique)"",
		""anglais (États-Unis, informatique)"",
		""anglais (É.-U., informatique)"");

# Data change in fr.xml from cldr to cldr-staging that caused the error
		<language type=""en"">anglais</language>
		<language type=""en_AU"">anglais australien</language>
		<language type=""en_CA"">anglais canadien</language>
		<language type=""en_GB"">anglais britannique</language>
-		<language type=""en_GB"" alt=""short"">anglais (R.-U.)</language>
		<language type=""en_US"">anglais américain</language>
-		<language type=""en_US"" alt=""short"">anglais (É.-U.)</language>{code}

2. Test assumes value is present but it has ↑↑↑ and gets removed; maybe change test?

{code:java}# Error
  TestUtilities {
    TestMissingStatus {
      Error: (TestUtilities.java:1388) Got getMissingStatus = ABSENT; expected PRESENT
    } (0.018s) FAILED (1 failure(s))

# Test code that reported the error
    public void TestMissingStatus() {
        final String path = ""//ldml/units/unitLength[@type=\""short\""]/unit[@type=\""volume-barrel\""]/displayName"";
        final String locale = ""fr"";
        final CLDRFile cldrFile = testInfo.getCLDRFile(locale, true);
        final MissingStatus expected = MissingStatus.PRESENT;
        final MissingStatus status = VettingViewer.getMissingStatus(cldrFile, path, true /* latin */);
        if (status != expected) {
            errln(""Got getMissingStatus = "" + status.toString() + ""; expected "" + expected.toString());
        }
    }

# Data change in fr.xml units-short from cldr to cldr-staging that caused the error
		<unit type=""volume-barrel"">
-			<displayName>↑↑↑</displayName>
			<unitPattern count=""one"">{0} bbl</unitPattern>
			<unitPattern count=""other"">{0} bbl</unitPattern>
		</unit>{code}",,Kison Haynes,Mark Davis,Peter Edberg,,60411d308cc44200698a1f34,5b1fa41abe73de20759a87c2,5b29558fe478c9080efacbde,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2021-03-09T13:20:04.000-0800"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i0d2hj:,,,Mark Davis,5b1fa41abe73de20759a87c2,,,,,,,,,,,,,,,,,,,,,,,08/Mar/21 10:19 AM;5b29558fe478c9080efacbde;Issue might be test is using CLDRFile methods that returns non-resolved string value. COuld lazily create resolved file and check that if there is an initial failure.,"09/Mar/21 11:04 AM;5b29558fe478c9080efacbde;Actually neither of these issues had to do with using CLDRFile non-resolved string value.

# The first has to do with how to handle requests for display names that are both short and dialect-style (non-compound); the CLDR spec does not say which to give priority. The fr data in the main CLDR repo was as below, with the items removed as redundant for production data marked with '-'. 

{noformat}   <languages>
     <language type=""en"">anglais</language>
     <language type=""en_GB"">anglais britannique</language>
-    <language type=""en_GB"" alt=""short"">anglais (R.-U.)</language>
     <language type=""en_US"">anglais américain</language>
-    <language type=""en_US"" alt=""short"">anglais (É.-U.)</language>
 
   <territories>
     <territory type=""GB"">Royaume-Uni</territory>
     <territory type=""GB"" alt=""short"">R.-U.</territory>
     <territory type=""US"">États-Unis</territory>
     <territory type=""US"" alt=""short"">É.-U.</territory>{noformat}

If we are just asking for the short dialect names for en_US or en_GB there is no issue, and the short names for en_GB/US are redundant. But if we ask for the name of something like ""en_US_POSIX"", they are not only non-redundant but actually harmful. We first get the dialect name for e.g. ""anglais (É.-U.)"", then convert parens to square brackets, and append other variant names using the standard localeDisplayPattern.

With data in the main repo, we were getting:

{noformat}standard long:  ""anglais (États-Unis, informatique)""
standard short: ""anglais (É.-U., informatique)""
dialect long:   ""anglais américain (informatique)""
dialect short:  ""anglais [É.-U.] (informatique)""  ** bad **{noformat}

So I decided to remove the “short” entries for en_US/en_GNB in the main repo (they get stripped for production data anyway). With removal we get this, same as what we were getting with production data, which is better:

{noformat}dialect short:  ""anglais américain (informatique)""  ** better ** {noformat}

However for this particular case we might prefer the following, which would require a spec change to favor the request for short over the request for dialect-style (though that behavior might not be desired for all dialect-style names):

{noformat}dialect short:  ""anglais (É.-U., informatique)""   ** best for this case, maybe not others **{noformat}

----

2. The second is more of an issue with the {{TestMissingStatus}} test. It was calling VettingViewer.getMissingStatus to verify that a particular unit display name was PRESENT. However, in French, that name currently has ↑↑↑ and gets stripped for production. But even though the value ultimately comes from root in either case, VettingViewer.getMissingStatus reports PRESENT if the item is present with ↑↑↑ and ABSENT if the item is stripped. So for the test, choose another unit display item that does not have ↑↑↑.",,,,,,Done
CLDR39 BRS A12-A18 Updating codes,CLDR-14516,86142,Bug,Done,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,Fixed,Mark Davis,5b1fa41abe73de20759a87c2,Yoshito Umaoka,5b295586e379aa18a9ef35b8,Yoshito Umaoka,5b295586e379aa18a9ef35b8,17/Feb/21 11:22 AM,26/Mar/21 10:58 AM,08/Sep/21 3:09 PM,26/Mar/21 10:58 AM,39,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Issue used for BRS task - https://sites.google.com/site/cldr/development/updating-codes,,Yoshito Umaoka,,,,5b295586e379aa18a9ef35b8,,,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2021-02-17T16:45:10.000-0800"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i0d207:,,,Yoshito Umaoka,5b295586e379aa18a9ef35b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
39 BRS§A24.4 rerun CLDRModify,CLDR-14514,86140,Bug,Done,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,Duplicate,Thomas Bishop,5cae14ea9c21b237caab46fc,Steven R. Loomis,5af4a8718a1abd1427952ed9,Steven R. Loomis,5af4a8718a1abd1427952ed9,17/Feb/21 9:58 AM,22/Feb/21 1:21 PM,08/Sep/21 3:09 PM,22/Feb/21 1:21 PM,,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,39,,,,Steven R. Loomis,,,,5af4a8718a1abd1427952ed9,,,,,,,,,,,,,,,CLDR-14491,,,,{},,,,,,,,0|i0d1zr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
39 BRS§A21 Generate Algorithmic Locales,CLDR-14513,86139,Bug,Done,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,Fixed,Mark Davis,5b1fa41abe73de20759a87c2,Steven R. Loomis,5af4a8718a1abd1427952ed9,Steven R. Loomis,5af4a8718a1abd1427952ed9,17/Feb/21 9:57 AM,10/Aug/21 1:55 PM,08/Sep/21 3:09 PM,05/Mar/21 8:29 AM,39,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,BRS,,,,Steven R. Loomis,,,,5af4a8718a1abd1427952ed9,,,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2021-02-18T16:45:04.000-0800"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i0d1zj:,,,Steven R. Loomis,5af4a8718a1abd1427952ed9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Done
misc Survey Tool BRS,CLDR-14491,86107,Task,Done,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,Fixed,Thomas Bishop,5cae14ea9c21b237caab46fc,Thomas Bishop,5cae14ea9c21b237caab46fc,Thomas Bishop,5cae14ea9c21b237caab46fc,10/Feb/21 9:59 AM,21/Apr/21 2:54 PM,08/Sep/21 3:09 PM,21/Apr/21 2:54 PM,39,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Infrastructure,,misc Survey Tool BRS,,Kristi Lee,Thomas Bishop,,,5ca62348fa160e67c4025b49,5cae14ea9c21b237caab46fc,,,,,,,,,,,,,CLDR-14093,,CLDR-13956,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=9}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":9,""lastUpdated"":""2021-02-23T08:33:18.000-0800"",""stateCount"":9,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":9,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i0d1sf:,,,Mark Davis,5b1fa41abe73de20759a87c2,,,,,,,,,,2021-03-22 19:56:58.153,,,,,,,,,,,,,10/Feb/21 10:02 AM;5cae14ea9c21b237caab46fc;Task: “Run the necessary CLDRModify passes” – [http://cldr.unicode.org/development/cldr-big-red-switch/cldrmodify-passes|http://cldr.unicode.org/development/cldr-big-red-switch/cldrmodify-passes],"12/Feb/21 9:47 AM;5cae14ea9c21b237caab46fc;Seven PRs have been merged, through [https://github.com/unicode-org/cldr/pull/1032|https://github.com/unicode-org/cldr/pull/1032|smart-link] 

I think that’s it for this task. Note that seed/annotations was skipped this time, as it was last August, due to conflict with Annotations.java being hard-coded for ""common"", not ""seed""",22/Feb/21 12:54 PM;5cae14ea9c21b237caab46fc;Re-opening this ticket for another BRS task – actually it’s the same CLDRModify task but repeated at a later stage in BRS,"01/Mar/21 12:42 PM;5cae14ea9c21b237caab46fc;A bunch of PRs were merged for CLDRModify. This last one was closed without merging due to problems with locale “my” (cf. [https://unicode-org.atlassian.net/browse/CLDR-14549|https://unicode-org.atlassian.net/browse/CLDR-14549|smart-link] ):

[https://github.com/unicode-org/cldr/pull/1070|https://github.com/unicode-org/cldr/pull/1070|smart-link] 

I’m not sure whether any further CLDRModify work should be done for this BRS task with this ticket?

I’m also using this ticket for some work today on revising/cloning my v39 tickets.",08/Mar/21 7:23 AM;5cae14ea9c21b237caab46fc;I did the remaining passes of CLDRModify. No changes resulted.,22/Mar/21 12:56 PM;5ca62348fa160e67c4025b49;[~accountid:5cae14ea9c21b237caab46fc] Should this be changed to Reviewing?,"22/Mar/21 2:24 PM;5cae14ea9c21b237caab46fc;[~accountid:5ca62348fa160e67c4025b49] Yes, thanks, I’ve just set it to Reviewing.",Done
"CLONE - Review sensitive terminology in code and data files, part 2",CLDR-14233,85697,Task,Done,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,Obsolete,Peter Edberg,5b29558fe478c9080efacbde,Peter Edberg,5b29558fe478c9080efacbde,Peter Edberg,5b29558fe478c9080efacbde,13/Oct/20 1:38 PM,14/Oct/20 4:44 PM,08/Sep/21 3:09 PM,14/Oct/20 4:44 PM,39,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"[https://unicode-org.atlassian.net/browse/CLDR-13922|https://unicode-org.atlassian.net/browse/CLDR-13922] removed references to ""grandfathered"" in the CLDR spec where possible. But there are other instances of sensitive terminology in CLDR code and data that should be reviewed as well. As Markus points out in a comment for CLDR-13922: In CLDR code and in data files, there are also uses of “grandfathered”, “master”, “slave”, “blacklist”, and “crazy”. Need to investigate these and reword as appropriate.

Note that the name of language ""den"" is some variant of “Slave” or “Slavey” in many locales.

This is a followup for CLDR 39 or later to investigate and address any items not handled under the original v38 ticket [https://unicode-org.atlassian.net/browse/CLDR-14226|https://unicode-org.atlassian.net/browse/CLDR-14226|smart-link] ",,Markus Scherer,Peter Edberg,,,5abac250c8a6c4195fbeec16,5b29558fe478c9080efacbde,,,,,,,,,,,,,CLDR-14226,,CLDR-13922,,,{},,,,,,,,0|i0cz9b:,,,,,,,,,,,,,,2020-10-14 17:17:04.877,final,,,,,,,,,,,,14/Oct/20 10:17 AM;5abac250c8a6c4195fbeec16;I believe the three PRs for [https://unicode-org.atlassian.net/browse/CLDR-14226|https://unicode-org.atlassian.net/browse/CLDR-14226|smart-link] from Peter & me address all fixable uses of these terms. So I think we can close this follow-up ticket here.,"14/Oct/20 3:28 PM;5b29558fe478c9080efacbde;OK, thanks",,,,,,Done
Review sensitive terminology in code and data files,CLDR-14226,85683,Task,Done,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,Fixed,Peter Edberg,5b29558fe478c9080efacbde,Peter Edberg,5b29558fe478c9080efacbde,Peter Edberg,5b29558fe478c9080efacbde,08/Oct/20 2:46 PM,14/Oct/20 10:15 AM,08/Sep/21 3:09 PM,14/Oct/20 10:15 AM,38,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"https://unicode-org.atlassian.net/browse/CLDR-13922 removed references to ""grandfathered"" in the CLDR spec where possible. But there are other instances of sensitive terminology in CLDR code and data that should be reviewed as well. As Markus points out in a comment for CLDR-13922: In CLDR code and in data files, there are also uses of “grandfathered”, “master”, “slave”, “blacklist”, and “crazy”. Need to investigate these and reword as appropriate.

Note that the name of language ""den"" is some variant of “Slave” or “Slavey” in many locales.",,Mark Davis,Markus Scherer,Peter Edberg,,5b1fa41abe73de20759a87c2,5abac250c8a6c4195fbeec16,5b29558fe478c9080efacbde,,,,,,,,,,,,,,CLDR-13922,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=3}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":3,""lastUpdated"":""2020-10-14T10:12:44.000-0700"",""stateCount"":3,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":3,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i0cz67:,,,Markus Scherer,5abac250c8a6c4195fbeec16,,,,,,,,,,2020-10-09 16:23:06.442,final,,,,,,,,,,,,"09/Oct/20 9:23 AM;5abac250c8a6c4195fbeec16;Thanks\!

I had been looking at someone’s list who had grepped over CLDR among other projects. I am sure there are false positives.",12/Oct/20 10:17 AM;5abac250c8a6c4195fbeec16;Reopening. This is not “Done” yet. I had just looked at one of the terms in some of the files.,12/Oct/20 10:18 AM;5abac250c8a6c4195fbeec16;I also wasn’t really offering to own it. I am not sure I have the time to finish it. I thought Peter said he could take it.,"12/Oct/20 3:12 PM;5b29558fe478c9080efacbde;Sorry, I did offer to own it but had not realized [https://github.com/unicode-org/cldr/pull/769|https://github.com/unicode-org/cldr/pull/769|smart-link]  was only addressing part of this, so had closed this and assigned to you. Now re-opened and assigned to myself to handle the remainder.","12/Oct/20 3:18 PM;5abac250c8a6c4195fbeec16;Thanks\!

If I do find more time, I might offer another partial PR.",13/Oct/20 1:42 PM;5b29558fe478c9080efacbde;OK I created [https://unicode-org.atlassian.net/browse/CLDR-14233|https://unicode-org.atlassian.net/browse/CLDR-14233|smart-link] as a post-v38 ticket to address remaining issues that can be handled. I think the two PRs under the current ticket address most or all of what we can do in v38. Moving this ticket to Reviewing for now (unless Markus comes up with another PR … :),,Done
Button for manually triggering commit checker,CLDR-14205,85643,Enhancement,Done,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,Fixed,Steven R. Loomis,5af4a8718a1abd1427952ed9,Steven R. Loomis,5af4a8718a1abd1427952ed9,Steven R. Loomis,5af4a8718a1abd1427952ed9,29/Sep/20 8:02 AM,14/Oct/20 8:22 AM,08/Sep/21 3:09 PM,13/Oct/20 2:00 PM,39,,,,,,,,,,,,,,,,,,,,,,BRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Infrastructure,,Related: ICU-20233,,Kristi Lee,Steven R. Loomis,,,5ca62348fa160e67c4025b49,5af4a8718a1abd1427952ed9,,,,,,,,,,,,,,,ICU-20233,,30/Sep/20 9:10 AM;srl295;image-20200930-161020.png;https://unicode-org.atlassian.net/secure/attachment/15061/image-20200930-161020.png,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=2}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":2,""lastUpdated"":""2020-10-13T08:39:41.000-0700"",""stateCount"":2,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":2,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i0cyxb:,,,Kristi Lee,5ca62348fa160e67c4025b49,,,,,,,,,,2020-10-08 16:31:20.375,,,,,,,,,,,,,"30/Sep/20 9:10 AM;5af4a8718a1abd1427952ed9;testing out..

!image-20200930-161020.png|width=379,height=556!",08/Oct/20 9:31 AM;5ca62348fa160e67c4025b49;[~accountid:5af4a8718a1abd1427952ed9] [~accountid:5b29558fe478c9080efacbde] Seems like this should be 38. Can I change to 38?,"12/Oct/20 9:47 AM;5af4a8718a1abd1427952ed9;[~accountid:5ca62348fa160e67c4025b49] It’s after the 38 maint branch was cut, and applies to the current master (39). Could add both 38 and 39 if desired, but this is otherwise not a priority to merge into 38.",,,,,Done
BRS A26.6 Create a simple tool to check for CLDR data that isn't converted,CLDR-14202,85640,Tests,Done,CLDR,CLDR,software,TracBot,5b34954eddd2363f63053eec,,https://unicode.org/cldr,major,Fixed,Mark Davis,5b1fa41abe73de20759a87c2,Mark Davis,5b1fa41abe73de20759a87c2,Mark Davis,5b1fa41abe73de20759a87c2,28/Sep/20 3:59 PM,22/Mar/21 8:05 AM,08/Sep/21 3:09 PM,22/Mar/21 8:05 AM,39,,,,,,,,,,,,,,,,,,,,,,BRS,infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"It is very difficult to do A26.6, so I wrote a quick and dirty tool to do a comparison.

It just finds all the values in ldml files, and sees if they are in ICU. So the test is rough, but proved useful in identifying problems.

TODO

# The current code just looks for quoted values in ICU. Should be changed to read the files with UResourceBundle. That will solve some mismatches because of formatting.
# It could be extended to JSON, reading the JSON files instead of ICU. The only thing we need is a bit of code that extracts all the values from a JSON file.
# The inputs are hard-coded, and should use command-line arguments instead.
# etc.

This can't be a unit test, because it works off of the cldr-staging production files, and the ICU data built from them.",,Mark Davis,,,,5b1fa41abe73de20759a87c2,,,,,,,,,,,,,,,,,,,"{pullrequest={dataType=pullrequest, state=MERGED, stateCount=1}, json={""cachedValue"":{""errors"":[],""summary"":{""pullrequest"":{""overall"":{""count"":1,""lastUpdated"":""2020-10-15T07:16:27.000-0700"",""stateCount"":1,""state"":""MERGED"",""dataType"":""pullrequest"",""open"":false},""byInstanceType"":{""GitHub"":{""count"":1,""name"":""GitHub""}}}}},""isStale"":true}}",,,,,,,,0|i0cywn:,,,Steven R. Loomis,5af4a8718a1abd1427952ed9,,,,,,,,,,,,,,,,,,,,,,,"14/Oct/20 8:40 PM;5b1fa41abe73de20759a87c2;Changing fixVersion to 39, since the code for the tool doesn’t have to be in 38.",,,,,,,Done
